#,id,student_id,name,age,gender,is_smoker,weekday_sleep_time,weekday_wake_time,weekend_sleep_time,weekend_wake_time,goes_home_on_weekend,late_night_return_frequency,drinking_frequency,noise_sensitivity,call_frequency,snores,prefers_same_major,major_name,cleaning_frequency,personality_extroversion,weight_lifestyle_rhythm,weight_noise,weight_major,weight_cleaning,weight_age,weight_personality,is_matched,matched_room_id,created_at,updated_at
205,,,오서준,20,남,True,23,09,,,True,1,4,3,3,1,True,양자원자력공학과,7,0,23,67,18,17,6,11,,,,
206,,,배소윤,24,여,False,00,06,22,10,False,0,4,2,2,1,False,생명시스템학부 식품생명공학전공,2,1,2,21,89,80,22,5,,,,
207,,,이현우,25,남,True,01,11,,,True,5,4,3,4,1,True,글로벌인재학부 국제통상전공,3,1,47,29,56,11,25,45,,,,
208,,,장유준,20,남,True,03,09,22,11,False,2,1,1,4,0,False,생명시스템학부 바이오융합공학전공,7,0,90,70,15,39,29,87,,,,
209,,,이대현,25,남,False,23,09,03,08,False,3,2,3,4,0,True,경제학과,7,0,6,14,59,6,61,3,,,,
210,,,권시윤,20,남,False,03,06,02,06,False,4,1,2,7,0,True,글로벌인재학부 국제협력전공,6,1,33,23,12,82,64,40,,,,
211,,,김지우,21,여,False,02,11,02,08,False,2,1,4,6,1,False,우주항공시스템학부 지능형드론융합전공,1,1,99,53,75,28,40,64,,,,
212,,,한지우,23,여,False,00,08,03,07,False,2,4,2,6,0,True,호텔관광외식경영학부 호텔관광경영학전공,6,0,41,97,88,33,17,63,,,,
213,,,이소윤,22,여,False,03,07,,,True,2,3,3,6,1,True,창의소프트학부 디자인이노베이션전공,3,0,45,88,89,42,82,74,,,,
214,,,김건우,23,남,False,02,06,01,06,False,1,2,5,4,1,True,우주항공시스템학부 지능형드론융합전공,3,1,26,46,63,59,47,99,,,,
215,,,성다은,24,여,False,02,06,23,10,False,2,6,1,6,1,False,스마트생명산업융합학과,6,1,50,56,51,76,11,8,,,,
216,,,장은우,22,남,False,22,10,,,True,5,4,4,3,0,True,건축공학과,1,1,93,95,70,10,69,99,,,,
217,,,이서윤,23,여,False,22,09,,,True,5,2,4,2,1,True,행정학과,2,1,100,98,17,16,82,62,,,,
218,,,오현우,20,남,False,03,11,00,09,False,1,3,3,7,0,True,글로벌인재학부 국제통상전공,3,0,91,90,17,4,59,3,,,,
219,,,장나연,28,여,False,22,07,00,11,False,3,3,3,2,0,True,국방시스템공학과,6,0,50,43,97,70,77,40,,,,
220,,,이다은,23,여,False,23,06,23,11,False,2,4,1,3,0,False,미디어커뮤니케이션학과,6,1,89,47,15,4,12,77,,,,
221,,,김나연,23,여,False,22,10,,,True,1,3,5,3,0,True,물리천문학과,4,1,4,31,89,36,28,8,,,,
222,,,강민수,26,남,True,22,06,,,True,1,4,1,4,1,False,패션디자인학과,3,1,76,19,3,24,5,72,,,,
223,,,이재윤,26,남,False,22,11,23,07,False,5,3,1,3,0,True,화학과,2,0,43,38,35,42,84,51,,,,
224,,,서민준,23,남,True,23,08,,,True,3,1,4,6,1,False,반도체시스템공학과,5,1,60,1,58,14,22,87,,,,
225,,,한시윤,26,남,True,01,08,23,09,False,3,1,1,4,0,True,글로벌인재학부 국제통상전공,5,0,25,49,62,29,4,92,,,,
226,,,김나연,21,여,False,02,07,00,10,False,1,2,4,3,0,False,경제학과,3,0,90,93,77,55,41,33,,,,
227,,,박예린,23,여,False,03,08,00,09,False,3,5,2,3,1,True,우주항공시스템학부 우주항공공학전공,2,1,83,80,79,24,63,46,,,,
228,,,김하윤,26,여,False,23,10,03,10,False,7,2,4,5,1,False,국제학부 영어데이터융합전공,2,0,69,21,43,59,18,28,,,,
229,,,김시우,21,남,False,23,10,22,06,False,6,5,1,7,1,False,국제학부 영어데이터융합전공,5,0,7,53,15,37,54,17,,,,
230,,,문은서,28,여,True,00,11,23,11,False,4,6,5,6,1,False,글로벌인재학부 한국언어문화전공,1,0,89,48,17,44,95,49,,,,
231,,,조도윤,23,남,False,00,06,00,08,False,3,6,1,7,0,True,체육학과,5,1,94,75,96,76,43,27,,,,
232,,,이민수,24,남,False,01,08,22,09,False,6,0,5,2,0,True,생명시스템학부 바이오산업자원공학전공,4,1,45,63,69,94,29,42,,,,
233,,,강예준,22,남,False,00,10,01,09,False,0,4,5,7,1,True,역사학과,4,0,91,4,71,18,38,12,,,,
234,,,이유나,22,여,False,02,08,01,09,False,6,1,5,6,1,False,국제학부 일어일문학전공,6,1,57,60,72,15,94,16,,,,
235,,,박시우,21,남,True,23,07,00,10,False,1,7,3,1,1,True,우주항공시스템학부 항공시스템공학전공,5,1,18,77,87,3,25,62,,,,
236,,,송유나,21,여,False,01,07,02,06,False,1,3,1,7,1,False,건축학과,1,0,42,31,25,17,64,49,,,,
237,,,김승현,21,남,False,02,09,22,08,False,7,7,2,7,1,False,글로벌인재학부 한국언어문화전공,6,0,60,30,32,84,89,70,,,,
238,,,권대현,26,남,True,23,09,00,08,False,1,3,5,5,1,True,생명시스템학부 바이오산업자원공학전공,3,0,84,40,95,64,77,6,,,,
239,,,이지후,24,남,False,02,07,23,10,False,1,4,5,5,1,True,국제학부 중국통상학전공,7,1,41,66,16,30,33,29,,,,
240,,,고은우,20,남,False,23,09,23,07,False,2,4,3,3,0,False,자유전공학부,5,0,64,37,69,52,34,18,,,,
241,,,김서윤,27,여,False,23,06,,,True,1,1,3,6,0,True,우주항공시스템학부 우주항공공학전공,3,0,44,26,33,83,4,36,,,,
242,,,이지후,27,남,False,02,11,02,09,False,2,1,4,7,0,True,반도체시스템공학과,6,0,16,38,94,54,61,80,,,,
243,,,서예린,20,여,False,01,10,23,11,False,2,3,5,2,0,False,AI융합전자공학과,3,0,65,77,1,86,80,36,,,,
244,,,안승현,25,남,True,22,11,02,11,False,6,1,5,5,1,False,글로벌인재학부 국제협력전공,1,0,75,8,18,58,73,19,,,,
245,,,강유나,25,여,False,03,07,02,07,False,2,0,1,6,1,False,AI로봇학과,5,1,98,12,28,70,5,24,,,,
246,,,이현우,28,남,False,00,06,22,09,False,4,2,4,7,0,True,경영학부,2,0,59,63,97,83,64,48,,,,
247,,,최민서,23,여,False,01,06,,,True,1,5,1,5,1,False,지능정보융합학과,5,1,10,59,24,90,15,16,,,,
248,,,이윤서,25,여,False,00,06,,,True,3,4,3,3,0,False,수학통계학과,1,0,88,60,26,85,9,11,,,,
249,,,이수아,24,여,False,23,06,03,08,False,1,5,4,7,0,False,국제학부 영어데이터융합전공,7,1,11,83,42,31,58,67,,,,
250,,,최시윤,26,남,False,03,11,,,True,2,2,2,7,0,True,국제학부 중국통상학전공,6,0,18,47,73,80,8,26,,,,
251,,,류서윤,25,여,False,23,08,,,True,5,1,2,2,0,True,국제학부 중국통상학전공,6,1,72,56,41,5,96,2,,,,
252,,,이준우,27,남,False,02,08,23,10,False,5,2,4,1,1,True,생명시스템학부 바이오융합공학전공,1,0,19,54,3,81,94,55,,,,
253,,,김예은,20,여,True,22,10,00,09,False,3,0,4,1,0,False,글로벌인재학부 국제협력전공,5,0,42,100,67,13,71,100,,,,
254,,,최예준,24,남,False,01,10,22,08,False,5,4,1,2,0,False,우주항공시스템학부 지능형드론융합전공,2,0,99,96,100,24,83,32,,,,
255,,,김지우,26,여,False,01,11,22,09,False,7,0,2,7,1,False,음악과,4,0,73,52,8,54,24,38,,,,
256,,,김하윤,20,여,False,23,06,,,True,4,4,1,1,0,False,회화과,5,0,57,6,3,50,24,63,,,,
257,,,이도윤,20,남,True,00,07,00,09,False,3,6,3,4,1,False,경제학과,2,1,45,11,47,51,32,39,,,,
258,,,김서준,27,남,True,23,07,22,08,False,5,5,4,7,1,False,우주항공시스템학부 항공시스템공학전공,3,1,59,52,89,53,7,21,,,,
259,,,장수아,21,여,False,00,11,,,True,2,2,5,4,1,False,호텔관광외식경영학부 외식경영학전공,2,1,22,61,96,31,74,48,,,,
260,,,박서윤,20,여,False,02,08,03,09,False,7,6,1,7,0,False,정보보호학과,2,0,34,28,26,97,89,63,,,,
261,,,김지우,25,여,False,01,09,01,07,False,1,2,5,4,1,True,글로벌조리학과,4,1,12,70,79,6,81,54,,,,
262,,,김서준,20,남,True,22,09,,,True,4,4,4,4,1,True,수학통계학과,6,1,46,62,81,94,7,54,,,,
263,,,허유나,26,여,False,03,07,00,07,False,3,1,2,5,1,False,국제학부 영어데이터융합전공,2,0,99,11,44,37,65,83,,,,
264,,,김건우,24,남,False,22,10,,,True,1,4,4,4,1,False,AI로봇학과,3,0,96,37,34,87,75,56,,,,
265,,,김소윤,22,여,False,01,09,22,09,False,5,1,3,5,0,True,법학과,1,1,48,69,85,38,62,26,,,,
266,,,김수아,21,여,True,02,11,00,08,False,5,5,2,3,1,False,지능정보융합학과,7,1,13,40,11,24,53,92,,,,
267,,,허서연,24,여,False,22,06,03,06,False,1,6,2,2,1,False,체육학과,1,0,87,99,48,94,25,50,,,,
268,,,손시우,28,남,False,02,11,,,True,5,1,3,7,0,True,건축학과,1,1,94,88,62,26,86,99,,,,
269,,,이재윤,26,남,True,00,08,01,08,False,5,5,3,4,0,False,호텔관광외식경영학부 호텔관광경영학전공,6,1,63,34,77,24,63,36,,,,
270,,,김예은,20,여,False,22,08,,,True,3,2,5,6,1,True,글로벌인재학부 국제협력전공,3,1,52,92,6,23,56,37,,,,
271,,,이하준,27,남,False,01,09,03,08,False,6,4,4,5,0,False,국어국문학과,4,1,32,18,0,10,46,75,,,,
272,,,이서준,24,남,True,23,09,02,06,False,0,3,2,6,0,True,수학통계학과,7,1,31,62,14,94,73,54,,,,
273,,,이다은,23,여,False,03,09,,,True,2,4,4,4,0,False,창의소프트학부 디자인이노베이션전공,1,1,37,69,12,97,42,9,,,,
274,,,유하준,22,남,True,03,06,,,True,4,1,4,5,1,True,콘텐츠소프트웨어학과,3,0,57,91,15,48,38,44,,,,
275,,,김하윤,23,여,True,02,09,,,True,1,1,3,3,1,True,나노신소재공학과,7,1,63,71,23,33,53,47,,,,
276,,,박준우,26,남,False,01,11,02,08,False,2,6,3,2,0,True,환경융합공학과,7,1,92,3,94,85,13,33,,,,
277,,,김소윤,27,여,False,23,08,,,True,2,1,3,2,1,False,음악과,2,0,29,82,84,47,89,89,,,,
278,,,배예준,22,남,True,02,09,22,10,False,5,5,3,1,0,False,국제학부 중국통상학전공,3,0,52,81,5,58,20,37,,,,
279,,,차시우,20,남,True,22,10,02,07,False,6,0,5,5,0,True,생명시스템학부 바이오산업자원공학전공,3,0,35,10,61,7,53,26,,,,
280,,,전지안,26,여,False,00,08,00,09,False,6,2,5,4,1,False,물리천문학과,5,0,21,79,69,11,49,61,,,,
281,,,정현우,23,남,False,02,10,22,11,False,3,3,5,7,1,False,우주항공시스템학부 항공시스템공학전공,5,1,8,9,50,43,29,77,,,,
282,,,문서연,23,여,False,01,09,23,06,False,0,0,3,2,0,False,사이버국방학과,1,1,78,79,34,92,61,46,,,,
283,,,백민수,24,남,False,03,06,,,True,2,1,1,5,0,True,무용과,5,0,1,34,94,16,34,14,,,,
284,,,엄민수,24,남,False,01,06,00,08,False,2,4,4,5,0,False,교육학과,3,1,57,18,8,49,4,20,,,,
285,,,서준우,28,남,True,22,09,,,True,5,2,5,5,0,True,교육학과,5,1,68,14,32,36,48,5,,,,
286,,,윤승민,20,남,True,00,07,,,True,4,1,3,4,1,True,국제학부 영어데이터융합전공,5,1,54,5,32,71,16,97,,,,
287,,,박시우,26,남,False,02,09,,,True,1,5,1,5,0,False,글로벌인재학부 국제협력전공,2,0,19,52,89,36,96,63,,,,
288,,,박예은,21,여,False,23,09,02,10,False,3,7,1,7,1,True,수학통계학과,2,0,22,17,4,46,89,14,,,,
289,,,김승민,20,남,False,02,11,02,07,False,0,7,1,7,0,False,우주항공시스템학부 항공시스템공학전공,3,1,86,35,9,98,31,5,,,,
290,,,한윤서,20,여,False,00,11,03,08,False,4,2,1,1,0,True,물리천문학과,3,1,35,53,94,69,23,53,,,,
291,,,노유나,21,여,True,00,11,,,True,2,0,1,1,1,False,회화과,5,1,82,43,67,49,81,65,,,,
292,,,이민준,21,남,False,02,09,03,09,False,7,3,1,3,0,False,나노신소재공학과,5,0,75,11,42,29,10,42,,,,
293,,,김대현,28,남,True,23,10,,,True,5,4,5,7,0,True,호텔외식관광프랜차이즈경영학과,7,0,12,66,47,14,72,2,,,,
294,,,최하준,20,남,False,22,06,03,10,False,3,4,4,6,1,True,무용과,6,0,11,82,100,51,20,55,,,,
295,,,김건우,27,남,False,02,08,,,True,5,0,4,7,1,True,수학통계학과,5,0,2,56,6,48,46,56,,,,
296,,,김서연,20,여,False,00,07,02,07,False,3,0,3,1,1,False,국제학부 일어일문학전공,5,0,30,54,66,41,11,22,,,,
297,,,류재윤,21,남,True,02,07,22,10,False,2,7,1,4,1,True,지구자원시스템공학과,4,1,55,43,73,8,85,96,,,,
298,,,김소윤,24,여,False,03,10,00,09,False,6,4,5,1,0,False,양자원자력공학과,4,0,65,35,5,70,99,19,,,,
299,,,이지안,27,여,True,00,08,,,True,3,2,2,4,0,True,경영학부,5,0,53,26,70,84,10,48,,,,
300,,,김나연,21,여,True,02,08,,,True,2,5,4,5,0,False,기계공학과,2,0,42,67,46,68,99,71,,,,
301,,,김예은,26,여,False,03,08,00,06,False,2,1,2,6,1,True,글로벌인재학부 한국언어문화전공,3,0,53,80,1,5,91,81,,,,
302,,,김서준,23,남,False,22,07,23,10,False,5,0,1,7,1,True,물리천문학과,2,0,10,8,63,12,27,47,,,,
303,,,배은서,24,여,True,22,11,,,True,1,5,2,5,0,False,국방시스템공학과,5,0,1,68,31,58,49,98,,,,
304,,,박건우,26,남,False,22,06,01,06,False,2,4,5,7,1,False,AI로봇학과,6,0,35,24,53,30,7,25,,,,
305,,,민예준,20,남,False,00,10,22,09,False,2,1,1,2,1,False,국제학부 일어일문학전공,6,0,17,10,12,94,73,15,,,,
306,,,황승현,25,남,True,01,10,22,09,False,0,1,2,6,1,True,자유전공학부,4,0,74,58,22,67,42,49,,,,
307,,,김하윤,22,여,False,23,08,00,10,False,5,1,1,4,0,False,자유전공학부,2,0,79,92,44,29,95,16,,,,
308,,,최승민,26,남,False,00,11,23,08,False,0,7,4,7,0,True,우주항공시스템학부 우주항공공학전공,6,1,25,42,6,63,57,19,,,,
309,,,김지민,20,여,True,02,09,23,10,False,2,4,1,6,1,True,회화과,2,1,65,46,49,12,59,33,,,,
310,,,임예준,24,남,False,02,08,23,06,False,0,7,3,4,0,True,AI융합전자공학과,5,0,46,21,19,1,26,95,,,,
311,,,서윤서,28,여,False,22,10,22,08,False,2,5,4,4,0,True,스마트생명산업융합학과,1,1,86,43,16,0,43,65,,,,
312,,,유지민,28,여,True,03,10,03,07,False,2,3,2,5,1,False,호텔외식관광프랜차이즈경영학과,3,1,47,81,71,14,69,22,,,,
313,,,윤민서,27,여,False,03,11,03,07,False,4,0,5,2,1,False,글로벌인재학부 한국언어문화전공,3,1,83,78,72,62,94,95,,,,
314,,,김지후,26,남,False,22,08,,,True,5,3,2,7,0,False,글로벌인재학부 한국언어문화전공,3,1,86,0,31,19,95,13,,,,
315,,,곽수아,20,여,False,02,11,22,08,False,1,6,4,6,1,False,정보보호학과,2,0,93,42,12,50,51,0,,,,
316,,,김대현,20,남,False,02,06,00,07,False,6,5,1,7,1,True,건설환경공학과,2,0,22,65,90,79,76,14,,,,
317,,,이승현,24,남,False,00,08,03,06,False,2,6,3,1,0,False,국제학부 영어데이터융합전공,6,1,42,47,84,53,37,48,,,,
318,,,장시우,21,남,False,23,07,00,07,False,7,5,4,7,1,True,교육학과,1,1,43,70,61,0,26,72,,,,
319,,,김지훈,28,남,False,02,10,01,07,False,6,7,1,2,0,False,물리천문학과,6,1,70,48,27,3,75,26,,,,
320,,,배예린,22,여,True,22,07,,,True,1,4,2,5,1,True,미디어커뮤니케이션학과,3,0,54,80,86,79,66,81,,,,
321,,,최예린,22,여,False,03,09,02,10,False,1,4,4,5,0,False,생명시스템학부 식품생명공학전공,1,1,87,12,37,63,80,90,,,,
322,,,박서준,27,남,False,22,08,00,10,False,4,1,2,7,0,False,법학과,5,1,64,8,30,63,49,59,,,,
323,,,김지민,21,여,False,22,11,,,True,5,4,1,2,1,True,글로벌인재학부 국제통상전공,2,1,52,67,15,14,100,63,,,,
324,,,박수아,28,여,False,01,11,23,07,False,3,0,5,3,1,True,생명시스템학부 식품생명공학전공,6,0,99,75,96,20,62,39,,,,
325,,,송시윤,23,남,False,02,08,00,11,False,7,5,1,2,1,True,생명시스템학부 식품생명공학전공,7,1,46,60,53,81,38,93,,,,
326,,,김시윤,22,남,True,22,07,01,11,False,6,3,3,6,1,True,글로벌인재학부 한국언어문화전공,2,1,82,77,20,17,30,10,,,,
327,,,류민서,20,여,False,22,10,01,08,False,0,7,2,2,1,True,건축학과,1,0,6,33,83,99,7,63,,,,
328,,,이수아,21,여,False,23,11,01,06,False,3,2,4,1,0,True,건축학과,6,0,2,82,97,12,71,51,,,,
329,,,최지안,23,여,True,23,07,03,10,False,3,5,3,1,0,False,국어국문학과,4,0,51,80,72,40,16,94,,,,
330,,,이하준,20,남,False,01,11,,,True,4,4,1,6,1,False,경영학부,6,0,22,4,44,17,87,13,,,,
331,,,김지안,28,여,False,02,07,02,11,False,0,6,4,4,0,False,환경융합공학과,5,0,37,61,29,62,95,62,,,,
332,,,김유준,21,남,False,02,08,22,11,False,1,6,4,2,0,False,역사학과,2,0,0,1,32,7,92,38,,,,
333,,,김지안,28,여,False,03,09,,,True,2,4,2,2,1,True,사이버국방학과,4,0,80,71,83,7,10,47,,,,
334,,,백시우,21,남,False,02,10,01,06,False,0,2,3,7,0,True,지구자원시스템공학과,7,0,50,38,11,48,6,64,,,,
335,,,박건우,21,남,False,00,08,,,True,4,5,2,5,0,False,영화예술학과,5,1,63,47,52,84,80,91,,,,
336,,,송유나,24,여,False,02,06,03,09,False,6,0,2,5,0,True,생명시스템학부 바이오산업자원공학전공,3,1,47,71,27,70,79,61,,,,
337,,,권시윤,27,남,False,00,09,02,11,False,0,2,4,2,0,False,국제학부 일어일문학전공,4,0,47,69,39,28,84,37,,,,
338,,,박서연,26,여,False,02,08,,,True,4,1,3,2,0,True,호텔외식관광프랜차이즈경영학과,1,1,51,8,38,23,89,26,,,,
339,,,김은우,22,남,True,02,07,00,09,False,4,1,1,5,1,True,창의소프트학부 만화애니메이션텍전공,6,0,88,35,38,29,51,49,,,,
340,,,박민준,20,남,True,03,10,01,09,False,6,0,3,2,0,False,콘텐츠소프트웨어학과,1,1,27,11,79,24,45,7,,,,
341,,,허승현,27,남,False,02,07,02,09,False,1,6,1,2,0,True,국방시스템공학과,1,1,43,3,60,58,9,100,,,,
342,,,안예준,26,남,False,01,07,23,11,False,6,4,5,4,1,True,교육학과,6,1,48,16,35,18,27,63,,,,
343,,,서예린,22,여,False,23,10,22,09,False,0,5,2,2,0,True,생명시스템학부 식품생명공학전공,2,1,23,93,49,56,27,58,,,,
344,,,박지안,21,여,False,23,08,23,10,False,1,3,2,4,0,False,글로벌조리학과,1,0,72,61,1,51,78,88,,,,
345,,,이예린,27,여,True,22,07,,,True,5,0,2,7,1,False,기계공학과,1,0,34,66,49,17,92,7,,,,
346,,,류현우,23,남,False,03,08,,,True,5,5,5,1,0,False,행정학과,6,0,60,38,65,1,51,8,,,,
347,,,김대현,22,남,True,00,07,23,08,False,1,1,5,4,1,False,정보보호학과,2,1,72,6,35,85,81,43,,,,
348,,,박시우,22,남,True,02,11,,,True,5,0,5,1,0,False,나노신소재공학과,3,0,86,17,36,39,31,57,,,,
349,,,박윤서,25,여,False,02,07,01,08,False,1,1,3,4,1,True,창의소프트학부 만화애니메이션텍전공,6,0,96,60,92,26,90,3,,,,
350,,,양현우,21,남,False,22,06,00,07,False,0,4,3,1,0,False,호텔관광외식경영학부 호텔관광경영학전공,3,1,92,56,68,9,36,91,,,,
351,,,안예준,28,남,False,02,08,00,10,False,1,5,1,1,0,False,글로벌인재학부 한국언어문화전공,2,1,59,31,86,95,38,98,,,,
352,,,김지우,23,여,True,22,09,00,09,False,5,2,4,2,0,False,경제학과,4,1,45,16,29,40,83,26,,,,
353,,,문은우,24,남,False,03,09,01,08,False,1,5,2,5,1,True,국제학부 중국통상학전공,5,1,56,23,99,64,56,84,,,,
354,,,오지민,24,여,False,00,09,02,09,False,3,3,2,2,1,False,생명시스템학부 바이오융합공학전공,2,0,63,31,90,14,97,57,,,,
355,,,김승현,23,남,True,03,08,,,True,2,5,1,6,0,False,영화예술학과,3,0,85,56,30,9,15,25,,,,
356,,,장예준,27,남,False,22,07,22,08,False,2,6,4,4,0,True,행정학과,6,0,11,85,68,4,88,81,,,,
357,,,황시윤,28,남,False,23,07,22,06,False,7,3,1,6,1,True,영화예술학과,7,1,26,1,50,89,10,25,,,,
358,,,엄나연,23,여,True,22,09,00,07,False,0,0,5,3,0,True,국제학부 중국통상학전공,1,1,72,27,47,81,58,85,,,,
359,,,이하준,28,남,True,02,08,,,True,1,0,2,5,0,True,인공지능데이터사이언스학과,5,0,87,91,49,72,43,53,,,,
360,,,김소윤,23,여,False,22,08,,,True,1,0,5,7,0,True,자유전공학부,7,1,35,100,17,88,20,85,,,,
361,,,이유준,25,남,False,03,08,,,True,1,3,2,7,1,False,지구자원시스템공학과,7,0,61,75,30,78,95,26,,,,
362,,,김서윤,28,여,False,00,10,,,True,5,3,1,4,1,False,인공지능데이터사이언스학과,6,1,46,23,66,73,32,5,,,,
363,,,손현우,25,남,True,23,08,03,09,False,0,1,5,2,0,False,우주항공시스템학부 항공시스템공학전공,2,0,27,28,59,38,60,66,,,,
364,,,서현우,20,남,True,23,06,01,10,False,0,1,3,3,1,True,물리천문학과,2,0,46,19,32,96,60,45,,,,
365,,,박은우,24,남,False,01,08,01,07,False,2,2,1,5,1,False,호텔관광외식경영학부 외식경영학전공,2,1,43,43,74,0,15,85,,,,
366,,,하건우,23,남,True,23,11,,,True,2,3,4,4,0,True,영화예술학과,1,0,98,49,16,53,48,93,,,,
367,,,권지우,21,여,False,01,10,22,07,False,5,0,3,1,0,False,호텔관광외식경영학부 호텔관광경영학전공,1,0,55,7,79,33,22,36,,,,
368,,,배민수,20,남,True,03,10,22,07,False,0,5,2,6,0,False,생명시스템학부 바이오융합공학전공,2,1,81,8,35,5,71,80,,,,
369,,,안시윤,28,남,False,03,08,01,06,False,4,2,2,6,0,True,교육학과,3,1,81,58,56,69,58,3,,,,
370,,,이소윤,22,여,False,00,07,,,True,1,3,3,5,0,False,호텔관광외식경영학부 외식경영학전공,2,1,59,29,66,24,92,64,,,,
371,,,김은우,28,남,False,02,09,01,10,False,6,4,3,7,0,True,창의소프트학부 디자인이노베이션전공,6,0,16,67,58,25,62,13,,,,
372,,,박대현,24,남,False,00,06,,,True,5,2,4,2,0,False,지구자원시스템공학과,7,0,73,88,61,40,99,3,,,,
373,,,이재윤,25,남,True,00,08,,,True,4,0,3,6,0,False,생명시스템학부 바이오융합공학전공,1,0,70,71,77,91,77,66,,,,
374,,,윤지우,27,여,False,22,11,,,True,2,5,2,4,1,True,지능정보융합학과,1,0,4,88,28,24,11,72,,,,
375,,,조시우,27,남,False,23,10,,,True,4,0,4,6,1,False,우주항공시스템학부 지능형드론융합전공,3,1,2,8,60,2,7,6,,,,
376,,,권도윤,28,남,False,02,08,22,10,False,2,6,3,6,0,False,우주항공시스템학부 우주항공공학전공,7,1,54,56,15,75,85,71,,,,
377,,,김준우,22,남,False,00,06,,,True,1,2,1,2,0,False,법학과,2,0,38,46,38,20,13,29,,,,
378,,,김지안,23,여,False,23,09,03,06,False,0,7,4,5,0,True,교육학과,1,1,33,81,89,10,45,15,,,,
379,,,김시윤,22,남,True,22,11,23,06,False,4,6,1,6,0,False,음악과,6,1,68,85,63,90,73,12,,,,
380,,,김지민,22,여,True,02,06,,,True,2,5,5,2,1,False,나노신소재공학과,4,0,44,8,33,67,70,46,,,,
381,,,윤서연,21,여,False,01,07,22,09,False,6,5,2,6,1,False,환경융합공학과,7,0,51,5,9,7,74,12,,,,
382,,,엄예린,25,여,False,03,10,23,10,False,2,5,4,1,1,True,AI융합전자공학과,4,1,3,9,8,16,93,47,,,,
383,,,김준우,26,남,False,23,06,,,True,5,4,4,4,0,False,글로벌인재학부 한국언어문화전공,2,0,85,13,38,90,58,57,,,,
384,,,나예린,25,여,False,22,09,02,08,False,4,6,1,7,1,True,패션디자인학과,7,1,22,12,4,25,35,82,,,,
385,,,김하준,23,남,False,02,10,,,True,5,3,1,2,0,True,수학통계학과,3,1,23,30,3,65,14,98,,,,
386,,,김지민,28,여,False,01,08,,,True,5,2,1,3,1,True,국방시스템공학과,4,0,17,86,91,88,59,43,,,,
387,,,안준우,27,남,True,00,08,23,09,False,3,7,1,1,1,True,우주항공시스템학부 우주항공공학전공,4,0,86,75,39,32,97,63,,,,
388,,,이예린,22,여,True,22,08,03,09,False,1,1,2,2,0,True,글로벌인재학부 한국언어문화전공,3,1,37,64,35,79,27,92,,,,
389,,,김건우,23,남,False,23,06,22,08,False,3,2,2,3,0,True,경제학과,6,1,14,90,44,42,0,99,,,,
390,,,김시윤,24,남,False,02,10,00,08,False,4,0,5,5,0,True,환경융합공학과,2,0,74,86,100,28,77,79,,,,
391,,,박대현,26,남,True,03,11,,,True,1,2,2,7,0,False,창의소프트학부 만화애니메이션텍전공,3,0,97,95,3,21,68,2,,,,
392,,,김지후,24,남,False,23,09,,,True,1,1,3,5,1,True,영화예술학과,7,1,6,14,65,40,42,22,,,,
393,,,주재윤,24,남,True,22,06,,,True,5,1,2,1,0,False,AI융합전자공학과,7,0,55,7,39,100,50,8,,,,
394,,,박소윤,24,여,False,01,07,23,06,False,7,1,4,1,1,False,컴퓨터공학과,6,0,22,63,51,63,14,6,,,,
395,,,백나연,28,여,True,22,06,22,10,False,2,2,1,1,1,False,창의소프트학부 만화애니메이션텍전공,2,0,8,40,20,4,59,1,,,,
396,,,남준우,24,남,False,01,11,,,True,4,3,3,4,1,False,국제학부 일어일문학전공,3,0,98,71,10,60,87,14,,,,
397,,,지지민,22,여,False,02,08,03,06,False,0,2,4,1,0,False,생명시스템학부 바이오산업자원공학전공,3,1,91,94,7,76,61,64,,,,
398,,,박지민,24,여,False,03,11,,,True,1,2,4,5,1,False,나노신소재공학과,4,0,20,80,46,5,73,24,,,,
399,,,박예은,23,여,False,02,11,,,True,1,5,3,6,0,True,경영학부,1,1,62,79,38,33,45,13,,,,
400,,,장서연,28,여,False,22,11,,,True,1,2,2,1,0,False,화학과,1,1,86,79,53,11,45,53,,,,
401,,,민은서,28,여,True,03,08,,,True,1,0,2,6,0,False,글로벌인재학부 국제협력전공,1,0,39,8,78,99,59,12,,,,
402,,,고지민,20,여,True,01,11,01,07,False,1,3,3,6,1,False,교육학과,4,1,47,72,3,87,12,61,,,,
403,,,김유나,24,여,False,03,11,,,True,3,3,1,7,0,True,건축공학과,7,1,4,59,94,46,57,71,,,,
404,,,박도윤,23,남,False,02,11,22,10,False,5,7,1,7,1,True,우주항공시스템학부 지능형드론융합전공,7,0,28,15,96,17,40,100,,,,
405,,,곽윤서,28,여,False,02,06,22,06,False,5,2,5,5,1,False,글로벌인재학부 국제통상전공,1,0,39,95,54,2,91,16,,,,
406,,,이하준,22,남,False,23,11,,,True,1,5,4,3,0,True,수학통계학과,6,0,56,13,74,28,5,33,,,,
407,,,장민준,27,남,False,00,07,00,09,False,6,6,1,5,1,True,AI로봇학과,7,1,21,17,28,48,70,1,,,,
408,,,차도윤,21,남,True,23,10,23,11,False,3,5,2,1,1,False,AI로봇학과,3,0,5,40,72,16,68,63,,,,
409,,,남시윤,22,남,True,23,08,02,09,False,3,5,1,2,1,True,글로벌인재학부 국제협력전공,6,1,20,14,82,19,57,75,,,,
